"",SUID,GeneName,Betweenness,Stress,Degree,Radiality,Bridging,Centroid,Closeness,Eccentricity,EigenVector
1361,1423,DUSP5,1394.815375,47788,235,3.11122145,6.489678258,-495,0.000263,0.333333333,0.013370815
1362,1424,AKT3,2429.667587,99060,364,3.164349553,5.417139846,-388,0.00027,0.333333333,0.022370536
1363,1425,SRR,366.7249086,15774,141,3.065541212,5.542585979,-587,0.000257,0.333333333,0.009777845
1364,1426,RNF139,2193.965692,86262,338,3.155412115,5.416013969,-406,0.000269,0.333333333,0.021070696
1365,1427,RCOR1,2036.19404,94198,371,3.169314796,4.856916226,-378,0.000271,0.333333333,0.025976254
1366,1428,TP53BP2,3156.575884,128114,423,3.19612711,5.331237624,-324,0.000275,0.333333333,0.026999109
1367,1429,TYK2,3187.355233,110544,418,3.18123138,5.054327807,-354,0.000273,0.333333333,0.02263207
1368,1430,ERCC5,3845.750343,143782,444,3.202085402,5.732964192,-312,0.000276,0.333333333,0.026666427
1369,1431,RBBP6,2290.020381,95210,358,3.167328699,5.436357449,-382,0.000271,0.5,0.023174648
1370,1432,IRS4,512.6556947,21352,141,3.065044687,6.613684619,-588,0.000257,0.333333333,0.008330765
1371,1433,MAP3K7,7768.586308,337134,794,3.319761668,4.017452643,-75,0.000296,0.333333333,0.046498862
1372,1434,MRC1,620.6893109,25246,128,3.058589871,8.019857903,-601,0.000256,0.333333333,0.00713912
1373,1435,RPL5,421.9371172,20146,180,3.078947368,4.237605189,-560,0.000258,0.333333333,0.012069653
1374,1436,NR5A2,1126.687979,49088,262,3.122144985,5.0169328,-473,0.000264,0.333333333,0.017054934
1375,1437,ASH2L,2510.276529,101138,349,3.164349553,5.971792315,-388,0.00027,0.333333333,0.024339944
1376,1438,TMPRSS2,1092.756179,37872,229,3.101787488,5.450523791,-514,0.000262,0.333333333,0.013667251
1377,1439,DDX3X,946.9747133,43210,251,3.112711023,4.932056854,-492,0.000263,0.333333333,0.016828741
1378,1440,CDC25B,2527.102631,91828,363,3.164846077,5.965566447,-387,0.000271,0.333333333,0.02474896
1379,1441,PIK3R2,2139.296115,64306,313,3.131082423,5.457925078,-455,0.000266,0.333333333,0.014661136
1380,1442,CBFB,3479.187582,184110,580,3.244786495,3.796902439,-226,0.000283,0.333333333,0.040587266
1381,1443,ASF1A,1302.260999,58744,298,3.133565045,4.590773106,-450,0.000266,0.333333333,0.021156248
1382,1444,KARS,1961.418464,81484,345,3.15590864,4.986343035,-405,0.000269,0.333333333,0.022363453
1383,1445,EGFR,5521.474858,220032,641,3.253227408,4.130074863,-209,0.000284,0.333333333,0.035379043
1384,1446,KIT,2817.806598,101274,391,3.167825223,5.309950477,-381,0.000271,0.333333333,0.022251474
1385,1447,TNF,1627.775241,55022,296,3.123634558,5.157774665,-469,0.000265,0.333333333,0.014937277
1386,1448,FES,2058.772972,83312,357,3.153922542,4.807006574,-408,0.000269,0.333333333,0.021307472
1387,1449,CUL2,2367.937457,100882,394,3.171797418,4.629688322,-373,0.000272,0.333333333,0.025329622
1388,1450,RRP7A,233.9524245,11922,141,3.05958292,4.093021061,-598,0.000256,0.333333333,0.010987707
1389,1451,GADD45G,673.0827163,22394,179,3.076961271,5.685095056,-563,0.000258,0.333333333,0.010108616
1390,1452,HDAC2,4631.599095,218244,627,3.258689176,3.998562523,-198,0.000285,0.333333333,0.040731309
1391,1453,RHEB,493.3957506,18882,158,3.071499503,5.490127535,-575,0.000257,0.333333333,0.009454269
1392,1454,MAFK,621.4899016,18330,154,3.068520357,6.471189801,-579,0.000257,0.333333333,0.008492042
1393,1455,SMARCE1,1658.188571,79240,371,3.154915591,4.100832976,-407,0.000269,0.333333333,0.024023379
1394,1456,CNTRL,1278.56992,53338,276,3.122641509,5.177890867,-472,0.000264,0.333333333,0.018371327
1395,1457,ATRX,1417.319448,60262,289,3.132075472,5.181295722,-453,0.000266,0.333333333,0.018776942
1396,1458,CCNH,1519.302845,61768,314,3.133565045,4.76660588,-450,0.000266,0.5,0.019295865
1397,1459,LRRC37A3,233.0728912,8820,73,3.029294935,8.533863891,-660,0.000252,0.333333333,0.004022954
1398,1460,VAV1,2640.581655,89088,383,3.157398213,5.019789418,-402,0.000269,0.333333333,0.018669568
1399,1461,TYR,1066.497246,42370,232,3.10774578,5.733504798,-502,0.000262,0.333333333,0.015431547
1400,1462,RB1,3391.565055,154418,574,3.217477656,3.564920844,-281,0.000279,0.333333333,0.033110274
1401,1463,HSP90AA1,4544.062951,197400,576,3.242800397,4.403471766,-230,0.000283,0.333333333,0.035673443
1402,1464,SP110,1217.620838,44404,247,3.116186693,5.577728359,-485,0.000264,0.333333333,0.013904421
1403,1465,BIK,814.6349149,32636,195,3.086891758,6.079503887,-544,0.00026,0.333333333,0.012741427
1404,1466,FAM208A,966.8292016,46308,257,3.115690169,4.729693984,-486,0.000264,0.333333333,0.017926161
1405,1467,CDKN1B,1751.752328,85674,384,3.162363456,4.075210481,-392,0.00027,0.333333333,0.024197149
1406,1468,C6orf62,340.8486993,17466,162,3.072492552,4.404605297,-573,0.000258,0.333333333,0.011204874
1407,1469,BRSK2,748.7055197,32950,240,3.111717974,4.183185525,-494,0.000263,0.333333333,0.016952926
1408,1470,IGF1R,3269.847576,136158,455,3.199106256,4.819468876,-318,0.000276,0.333333333,0.027867793
1409,1471,TBP,2786.349742,157496,371,3.160377358,5.463204529,-396,0.00027,0.333333333,0.023213075
1410,1472,KDM5A,492.5771827,22448,185,3.083912612,4.56866795,-550,0.000259,0.333333333,0.012266409
1411,1473,PTN,1432.022594,52514,250,3.120158888,6.342933425,-477,0.000264,0.333333333,0.016206646
1412,1474,RSBN1,2014.857637,90272,364,3.16633565,4.55561152,-384,0.000271,0.333333333,0.022448445
1413,1475,KMT2A,3012.847814,120150,423,3.188182721,4.990972478,-340,0.000274,0.333333333,0.025403693
1414,1476,CDKN1A,3035.866404,123852,464,3.19265144,4.394200155,-331,0.000275,0.333333333,0.02718371
1415,1477,BID,957.6642034,39254,253,3.107249255,4.887607923,-503,0.000262,0.333333333,0.01633316
1416,1478,POLR2B,6968.78825,314950,730,3.310327706,4.267701666,-94,0.000294,0.333333333,0.04587957
1417,1479,UBXN2B,276.0935105,13198,135,3.061072493,4.816987167,-596,0.000256,0.333333333,0.01003198
1418,1480,RPP30,1385.940054,68688,341,3.151439921,4.265145773,-414,0.000269,0.333333333,0.026047596
1419,1481,DHCR24,742.2743232,25646,172,3.082423039,6.946403317,-553,0.000259,0.333333333,0.011805415
1420,1482,SIK1,1141.928294,56838,310,3.140019861,4.001516897,-437,0.000267,0.333333333,0.02076354
1421,1483,JUND,597.8321543,21094,179,3.076464747,5.168094567,-565,0.000258,0.333333333,0.009562752
1422,1484,TEX30,233.6692174,14562,156,3.067030785,3.505443778,-584,0.000257,0.333333333,0.014820974
1423,1485,COPS6,701.7492528,25998,194,3.086891758,5.342886039,-544,0.00026,0.333333333,0.012459485
1424,1486,BTK,3206.769355,119966,454,3.183217478,4.493029736,-350,0.000273,0.333333333,0.023511861
1425,1487,TRAPPC8,3303.628496,141950,451,3.206554121,4.877396333,-303,0.000277,0.333333333,0.028868234
1426,1488,UBE2C,1860.642915,104530,493,3.197616683,2.76069619,-321,0.000275,0.333333333,0.034256587
1427,1489,HDAC1,6367.921151,268852,750,3.283018868,3.735804348,-149,0.000289,0.333333333,0.041892824
1428,1490,ABI1,761.1698167,33382,224,3.101787488,4.65650063,-514,0.000262,0.333333333,0.01431734
1429,1491,YTHDF3,1159.034971,56928,279,3.136544191,4.41671323,-444,0.000266,0.333333333,0.018739951
1430,1492,TMEM106C,878.0788653,44624,291,3.128599801,3.796261795,-460,0.000265,0.333333333,0.022947023
1431,1493,RFC2,1856.807662,88900,413,3.168321748,3.783344851,-380,0.000271,0.333333333,0.027551094
1432,1494,WIPF1,2699.408531,108294,421,3.178748759,4.648138916,-359,0.000273,0.333333333,0.023420856
1433,1495,ARHGAP11A,1310.580295,63600,325,3.152929494,4.465804179,-411,0.000269,0.333333333,0.02672407
1434,1496,PKNOX1,584.0283582,22744,169,3.078947368,6.078108955,-560,0.000258,0.333333333,0.011934914
1435,1497,JUNB,424.5252458,15704,171,3.06653426,4.064036494,-584,0.000257,0.333333333,0.008207888
